,concept:name,concept:endpoint,id:id,lifecycle:transition,time:timestamp,case:concept:name,concept:instance,data_received
36,"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,complete,2016-12-15 15:58:41+01:00,Instance 208,,
37,"""Intermediate A delivery details""",http://cpee.org/~demo/corr/corr.php,a5,start,2016-12-15 15:58:42+01:00,Instance 208,,
38,"""quality report intermediate A""",,a4,unknown,2016-12-15 15:58:42+01:00,Instance 208,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<quality_report_A>\n<id>m7_1</id>\n<quality>C</quality>\n<storage_temperature>29</storage_temperature>\n<expiry_date>2017-04-02</expiry_date>\n</quality_report_A>\n'}}"
39,"""quality report intermediate A""",http://cpee.org/~demo/corr/corr.php,a4,complete,2016-12-15 15:58:42+01:00,Instance 208,,
40,"""Intermediate A delivery details""",http://cpee.org/~demo/corr/corr.php,a5,complete,2016-12-15 15:58:43+01:00,Instance 208,,
41,"""Intermediate A delivery details""",,a5,unknown,2016-12-15 15:58:44+01:00,Instance 208,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<A_delivery_details>\n    <id>m9_1</id>\n    <delivery_date>2016-12-20</delivery_date>\n</A_delivery_details>\n'}}"
42,"""prepare preprocessing intermediate A""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a9,start,2016-12-15 15:58:44+01:00,Instance 208,,
43,"""Arrival intermediate A""",http://cpee.org/~demo/corr/corr.php,a7,start,2016-12-15 15:58:44+01:00,Instance 208,,
44,"""Arrival intermediate A""",,a7,unknown,2016-12-15 15:58:44+01:00,Instance 208,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<arrival_A>\n    <id>m10_1</id>\n    <status>partially defected</status>\n    <address>Tunis</address>\n</arrival_A>\n'}}"
45,"""Arrival intermediate A""",http://cpee.org/~demo/corr/corr.php,a7,complete,2016-12-15 15:58:44+01:00,Instance 208,,
46,"""full quality test intermediate A""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a8,start,2016-12-15 15:58:44+01:00,Instance 208,,
