server,dataset,chunks,sent,received
server1,bpi,1,171.6156874287925,41.48943472080594
server1,bpi,100,143.7359159128512,31.537131219904648
server1,bpi,1000,133.35450102412403,25.6906358784153
server1,credit,1,42.085448856973635,14.7161244807145
server1,creditReq,100,28.086147880721064,9.321824910206598
server1,creditReq,1000,21.742712862855125,6.5965769585713385
server1,traffic,1,531.0001123375207,176.80829667885808
server1,traffic,100,414.43037007162826,124.64836067457203
server1,traffic,1000,343.5941383200088,102.21484317200307
server1,traffic,70000,210.98662776011804,48.42280589126983
server2,bpi,1,61.70083808694122,103.44305082564154
server2,bpi,100,41.538183908968065,86.09851786588911
server2,bpi,1000,31.331663958927102,78.84859055099241
server2,creditReq,1,23.856037082992373,26.20327030554979
server2,creditReq,100,14.220032341812884,17.226430313068477
server2,creditReq,1000,9.081037169108859,13.46288784456539
server2,traffic,1,332.0464803847259,335.95156119176374
server2,traffic,100,217.9625055708685,254.06951978617917
server2,traffic,1000,167.17981684947745,211.34353721096724
server2,traffic,70000,68.18784227770627,125.36660764185933
server3,bpi,1,41.297317210502584,132.38067365681766
server3,bpi,100,31.3934618435173,101.03978645036045
server3,bpi,1000,25.16339460547098,87.5004220505694
server3,creditReq,1,14.569569809975148,40.18541116972255
server3,creditReq,100,9.269997561659055,25.436370169800323
server3,creditReq,1000,6.524962497650444,17.75850093418644
server3,traffic,1,176.2332178431428,533.3779222991236
server3,traffic,100,123.80032521474314,383.86370942413345
server3,traffic,1000,100.86429629564782,302.8252495191681
server3,traffic,70000,47.55994271932886,156.48258346927773
