Action;SectionID;ParentSectionID;Duration;Complexity
combine_run_1;13;1;1778;1
full_run_run_1;1;0;363622;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;287180;1
per_chunk_sort_run_1;3;1;61719;1
reshaping_run_1;4;1;790;2
shifting_and_subtraction_run_1;5;1;3559;1
boolean_comparison_run_1;6;1;1205;1
transpose_run_1;7;1;1465;1
transpose_run_1;8;1;1902;2
outerProduct_run_1;9;1;1337;1
matrixMultiplication_run_1;10;1;549;1
colSums_run_1;11;1;1344;1
colSums_run_1;12;1;1321;2
combine_run_1;13;1;1591;1
full_run_run_1;1;0;365289;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;281998;1
per_chunk_sort_run_1;3;1;59028;1
reshaping_run_1;4;1;604;2
shifting_and_subtraction_run_1;5;1;3044;1
boolean_comparison_run_1;6;1;1055;1
transpose_run_1;7;1;1329;1
transpose_run_1;8;1;1970;2
outerProduct_run_1;9;1;1078;1
matrixMultiplication_run_1;10;1;595;1
colSums_run_1;11;1;1442;1
colSums_run_1;12;1;1479;2
combine_run_1;13;1;1733;1
full_run_run_1;1;0;357325;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284113;1
per_chunk_sort_run_1;3;1;67528;1
reshaping_run_1;4;1;869;2
shifting_and_subtraction_run_1;5;1;4435;1
boolean_comparison_run_1;6;1;1201;1
transpose_run_1;7;1;1335;1
transpose_run_1;8;1;1907;2
outerProduct_run_1;9;1;1222;1
matrixMultiplication_run_1;10;1;582;1
colSums_run_1;11;1;1397;1
colSums_run_1;12;1;1393;2
combine_run_1;13;1;1717;1
full_run_run_1;1;0;368938;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;280817;1
per_chunk_sort_run_1;3;1;61475;1
reshaping_run_1;4;1;638;2
shifting_and_subtraction_run_1;5;1;3419;1
boolean_comparison_run_1;6;1;1122;1
transpose_run_1;7;1;1321;1
transpose_run_1;8;1;1892;2
outerProduct_run_1;9;1;1015;1
matrixMultiplication_run_1;10;1;580;1
colSums_run_1;11;1;1171;1
colSums_run_1;12;1;1159;2
combine_run_1;13;1;1412;1
full_run_run_1;1;0;357161;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282123;1
per_chunk_sort_run_1;3;1;75897;1
reshaping_run_1;4;1;643;2
shifting_and_subtraction_run_1;5;1;3533;1
boolean_comparison_run_1;6;1;1112;1
transpose_run_1;7;1;1181;1
transpose_run_1;8;1;1642;2
outerProduct_run_1;9;1;1291;1
matrixMultiplication_run_1;10;1;674;1
colSums_run_1;11;1;1185;1
colSums_run_1;12;1;1167;2
combine_run_1;13;1;1475;1
full_run_run_1;1;0;373090;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;280467;1
per_chunk_sort_run_1;3;1;64840;1
reshaping_run_1;4;1;872;2
shifting_and_subtraction_run_1;5;1;4407;1
boolean_comparison_run_1;6;1;1188;1
transpose_run_1;7;1;1696;1
transpose_run_1;8;1;2056;2
outerProduct_run_1;9;1;1106;1
matrixMultiplication_run_1;10;1;608;1
colSums_run_1;11;1;1188;1
colSums_run_1;12;1;1219;2
combine_run_1;13;1;1570;1
full_run_run_1;1;0;362437;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;287957;1
per_chunk_sort_run_1;3;1;59637;1
reshaping_run_1;4;1;632;2
shifting_and_subtraction_run_1;5;1;3418;1
boolean_comparison_run_1;6;1;1107;1
transpose_run_1;7;1;1329;1
transpose_run_1;8;1;1882;2
outerProduct_run_1;9;1;1072;1
matrixMultiplication_run_1;10;1;578;1
colSums_run_1;11;1;1328;1
colSums_run_1;12;1;1198;2
combine_run_1;13;1;1431;1
full_run_run_1;1;0;363078;1
