server,dataset,chunks,sent,received
server1,bpi,1,171.6156874287925,41.48943472080594
server1,bpi,10,147.8220309163323,35.30561797223687
server1,bpi,100,143.7359159128512,31.537131219904648
server1,bpi,1000,133.35450102412403,25.6906358784153
server1,creditReq,1,42.085448856973635,14.7161244807145
server1,creditReq,10,32.850896454969785,12.674318821396241
server1,creditReq,100,28.086147880721064,9.321824910206598
server1,creditReq,1000,21.742712862855125,6.5965769585713385
server1,traffic,1,555.0717713515227,176.95746459506478
server1,traffic,10,434.04000857253993,163.11149847107808
server1,traffic,100,414.43037007162826,124.64836067457203
server1,traffic,1000,343.5941383200088,102.21484317200307
server1,traffic,10000,246.61026241535052,69.22584681716096
server2,bpi,1,61.70083808694122,103.44305082564154
server2,bpi,10,49.17163953299876,89.80910793962673
server2,bpi,100,41.538183908968065,86.09851786588911
server2,bpi,1000,31.331663958927102,78.84859055099241
server2,creditReq,1,23.856037082992373,26.20327030554979
server2,creditReq,10,18.902410072095083,20.672900310149352
server2,creditReq,100,14.220032341812884,17.226430313068477
server2,creditReq,1000,9.081037169108859,13.46288784456539
server2,traffic,1,332.12518590761,348.2118943937975
server2,traffic,10,288.9324804757202,270.7114431398029
server2,traffic,100,217.9625055708685,254.06951978617917
server2,traffic,1000,167.17981684947745,211.34353721096724
server2,traffic,10000,109.5003243633621,149.75673177930315
server3,bpi,1,41.297317210502584,132.38067365681766
server3,bpi,10,34.91061281584917,109.11379577069827
server3,bpi,100,31.3934618435173,101.03978645036045
server3,bpi,1000,25.16339460547098,87.5004220505694
server3,creditReq,1,14.569569809975148,40.18541116972255
server3,creditReq,10,12.57321311865768,31.502738168173668
server3,creditReq,100,9.269997561659055,25.436370169800323
server3,creditReq,1000,6.524962497650444,17.75850093418644
server3,traffic,1,176.30797600967645,545.9471108611593
server3,traffic,10,161.7617483555887,456.8101515322107
server3,traffic,100,123.80032521474314,383.86370942413345
server3,traffic,1000,100.86429629564782,302.8252495191681
server3,traffic,10000,68.47775890679522,209.50863434683055
