dataset,chunks_x,preprocessing,per_chunk_sort,reshaping,shifting_and_subtraction,boolean_comparison,transpose_1,transpose_2,outerProduct,matrixMultiplication,colSums_1,colSums_2,combine,full_run,chunks_per_minute,no_of_traces,events_per_second,no_of_events
bpi,1.0,1.1900805,19.950049633333332,0.2501238,5.541492616666667,0.011668550000000001,0.6176294166666666,16.094128066666666,4.089774433333333,2.2472151166666667,10.249467399999999,10.29982955,0.00030881666666666665,67.98825408333333,0.050125188577433935,1000.0,0.24514038331148055,238000
bpi,10.0,1.1929778999999998,15.996366466666666,0.24371,5.381673083333334,0.011729066666666668,0.5993247,15.7399772,3.80516245,2.3158991,10.212206666666667,10.087084683333334,0.00031238333333333333,63.98776508333333,0.6251419671359784,1000.0,0.2604664601890866,238000
bpi,100.0,1.1827019499999998,13.098625833333333,0.24671141666666668,5.476177166666667,0.011614000000000001,0.605515,15.976920633333332,3.9755852999999997,2.3271948499999997,10.34720055,10.248728499999999,0.0003136,61.68456318333334,7.634388620027635,1000.0,0.27019185686914066,238000
bpi,1000.0,1.1914386000000001,9.974067966666667,0.24927281666666667,5.440364783333333,0.011698416666666666,0.6019293,15.8942815,4.157828783333334,2.2990006833333334,10.1447045,9.998182333333334,0.0003110666666666667,57.89050236666667,100.25999455207241,1000.0,0.2878998451439131,238000
credit,1.0,0.7373946833333332,9.135603516666666,0.0794124,1.1281287666666666,0.006861166666666667,0.10843413333333334,0.8619404833333333,0.2460837,0.13373796666666668,0.5515539500000001,0.5506610833333333,3.9300000000000007e-05,13.387349433333334,0.10946184323516624,10000.0,12.449564232011543,140000
credit,10.0,0.7591350166666667,7.326129233333334,0.07331826666666666,1.1243584333333334,0.006970683333333333,0.10768605,0.8605072333333333,0.23031016666666668,0.1251178166666667,0.5598548833333333,0.5507044666666665,3.926666666666667e-05,11.579355483333334,1.3649772863002139,10000.0,14.393432078888777,140000
credit,100.0,0.73294615,5.541653583333334,0.07405363333333333,1.1124700499999998,0.006893033333333334,0.1090146,0.8581898833333332,0.23764593333333334,0.12100415,0.5460693833333334,0.5583146166666667,3.9983333333333334e-05,9.781413383333332,18.045155384802936,10000.0,17.03911900407481,140000
credit,1000.0,0.7305277666666666,3.7711227666666667,0.07885168333333333,1.1199209666666665,0.0068643666666666665,0.11017048333333333,0.8707849166666667,0.24931081666666666,0.12171030000000001,0.5588306166666667,0.5525422,4.014999999999999e-05,8.043624233333334,265.1730165984254,10000.0,20.72034468939865,140000
credit,10000.0,0.7865096666666668,2.1544994,0.07491818333333335,1.1694392833333334,0.006924733333333333,0.10657935000000002,0.8758277333333333,0.2616633666666667,0.1313116,0.5587163333333334,0.5576258000000001,4.1716666666666666e-05,6.5463383,4641.4494243999325,10000.0,25.459525467338995,140000
traffic,1.0,6.9423961,116.27873548333334,0.8792311333333334,15.085206683333332,0.06845218333333335,1.5434641833333334,16.92529306666667,4.472018433333334,2.5866380666666666,10.8397357,10.758308233333333,6.573333333333332e-05,182.9659398166667,0.008600024723723744,70000.0,6.376414472746545,140000
traffic,10.0,6.969014116666667,98.03203415,0.84770265,14.567939783333333,0.06811828333333333,1.5141358333333332,16.58977205,4.055125716666667,2.4044514,10.65266655,10.360324016666665,6.466666666666666e-05,164.22215236666668,0.10200747221769242,70000.0,7.104197879843848,140000
traffic,100.0,6.956950133333333,79.42951598333333,0.8623649,14.972765316666665,0.06812216666666666,1.5241882666666666,16.804715983333335,4.734833416666667,2.33418365,10.66361815,10.6433906,6.551666666666667e-05,146.0503291,1.2589778341464772,70000.0,7.988113918372997,140000
traffic,1000.0,6.958118083333334,60.54146271666666,0.8527376833333332,14.961187283333334,0.06785421666666668,1.5166025166666666,16.817123533333334,4.830074383333334,2.4092147833333333,10.759842966666666,10.795911233333333,6.568333333333334e-05,127.16271231666666,16.51760554052003,70000.0,9.174597218100992,140000
traffic,10000.0,7.03400005,41.98243595,0.8581465333333334,14.85467295,0.06819595,1.5249291499999997,16.6862174,4.1317427,2.382423283333333,10.894381366666666,10.457271633333333,6.560000000000001e-05,108.57725543333335,238.19484919621485,70000.0,10.74503736542689,140000
traffic,70000.0,6.999882766666667,27.097452850000003,0.8610682833333333,14.934726683333334,0.06810988333333333,1.5229182166666666,16.814813349999998,4.1985662,2.2952392500000003,10.6332955,10.846034783333334,6.85e-05,94.47228213333334,2583.2686336789766,70000.0,12.349301195244687,140000
