case,completeTime,event,b0,b1,b2,b3,b4,b5,b6
60,19072,0001000,0,0,0,1,0,0,0
60,19418,0000100,0,0,0,0,1,0,0
61,19182,0001000,0,0,0,1,0,0,0
61,19493,0000100,0,0,0,0,1,0,0
62,19485,0001000,0,0,0,1,0,0,0
62,19527,0000100,0,0,0,0,1,0,0
63,20109,0001000,0,0,0,1,0,0,0
63,20678,0000100,0,0,0,0,1,0,0
64,20396,0001000,0,0,0,1,0,0,0
64,20983,0000100,0,0,0,0,1,0,0
65,20616,0001000,0,0,0,1,0,0,0
65,21088,0000100,0,0,0,0,1,0,0
66,20815,0001000,0,0,0,1,0,0,0
66,21107,0000100,0,0,0,0,1,0,0
67,21292,0001000,0,0,0,1,0,0,0
67,21503,0000100,0,0,0,0,1,0,0
68,20932,0001000,0,0,0,1,0,0,0
68,21527,0000100,0,0,0,0,1,0,0
69,21760,0001000,0,0,0,1,0,0,0
69,22261,0000100,0,0,0,0,1,0,0
70,21876,0001000,0,0,0,1,0,0,0
70,22092,0000100,0,0,0,0,1,0,0
71,21804,0001000,0,0,0,1,0,0,0
71,21878,0000100,0,0,0,0,1,0,0
72,22808,0001000,0,0,0,1,0,0,0
72,22917,0000100,0,0,0,0,1,0,0
73,22639,0001000,0,0,0,1,0,0,0
73,22816,0000100,0,0,0,0,1,0,0
74,23591,0001000,0,0,0,1,0,0,0
74,23663,0000100,0,0,0,0,1,0,0
75,24078,0001000,0,0,0,1,0,0,0
75,24083,0000100,0,0,0,0,1,0,0
76,23713,0001000,0,0,0,1,0,0,0
76,23946,0000100,0,0,0,0,1,0,0
77,24571,0001000,0,0,0,1,0,0,0
77,24880,0000100,0,0,0,0,1,0,0
78,24305,0001000,0,0,0,1,0,0,0
78,24894,0000100,0,0,0,0,1,0,0
79,24753,0001000,0,0,0,1,0,0,0
79,24979,0000100,0,0,0,0,1,0,0
80,24925,0001000,0,0,0,1,0,0,0
80,25170,0000100,0,0,0,0,1,0,0
81,24663,0001000,0,0,0,1,0,0,0
81,24720,0000100,0,0,0,0,1,0,0
82,0,0,0,0,0,0,0,0,0
82,25581,0000100,0,0,0,0,1,0,0
83,0,0,0,0,0,0,0,0,0
83,25397,0000100,0,0,0,0,1,0,0
84,0,0,0,0,0,0,0,0,0
84,26442,0000100,0,0,0,0,1,0,0
85,0,0,0,0,0,0,0,0,0
85,26744,0000100,0,0,0,0,1,0,0
86,0,0,0,0,0,0,0,0,0
86,27241,0000100,0,0,0,0,1,0,0
87,0,0,0,0,0,0,0,0,0
87,27274,0000100,0,0,0,0,1,0,0
88,0,0,0,0,0,0,0,0,0
88,27343,0000100,0,0,0,0,1,0,0
89,0,0,0,0,0,0,0,0,0
89,27709,0000100,0,0,0,0,1,0,0
90,0,0,0,0,0,0,0,0,0
90,27821,0000100,0,0,0,0,1,0,0
91,28085,0001000,0,0,0,1,0,0,0
91,29058,0000100,0,0,0,0,1,0,0
92,28364,0001000,0,0,0,1,0,0,0
92,28937,0000100,0,0,0,0,1,0,0
93,28658,0001000,0,0,0,1,0,0,0
93,28983,0000100,0,0,0,0,1,0,0
94,29117,0001000,0,0,0,1,0,0,0
94,29584,0000100,0,0,0,0,1,0,0
95,29241,0001000,0,0,0,1,0,0,0
95,29317,0000100,0,0,0,0,1,0,0
96,29322,0001000,0,0,0,1,0,0,0
96,29827,0000100,0,0,0,0,1,0,0
97,29744,0000100,0,0,0,0,1,0,0
97,29975,0001000,0,0,0,1,0,0,0
98,30063,0000100,0,0,0,0,1,0,0
98,30368,0001000,0,0,0,1,0,0,0
99,0,0,0,0,0,0,0,0,0
99,30665,0000100,0,0,0,0,1,0,0
